timestamp,alertname,value
2021-07-15 00:00:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 00:10:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 00:20:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 00:30:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 00:40:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 00:50:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 01:00:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 01:10:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 01:20:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 01:30:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 01:40:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 01:50:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 02:00:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 02:10:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 02:20:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 02:30:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 02:40:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 02:50:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 03:00:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 03:10:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 03:20:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 03:30:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 03:40:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 03:50:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 04:00:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 04:10:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 04:20:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 04:30:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 04:40:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 04:50:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 05:00:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 05:10:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 05:20:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 05:30:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 05:40:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 05:50:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 06:00:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 06:10:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 06:20:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 06:30:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 06:40:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 06:50:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 07:00:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 07:10:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 07:20:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 07:30:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 07:40:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 07:50:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 08:00:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 08:10:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 08:20:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 08:30:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 08:40:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 08:50:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 09:00:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 09:10:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 09:20:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 09:30:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 09:40:00,APIRemovedInNextEUSReleaseInUse,4882.0
